n	Time(ns)
3	399700
4	600
5	400
6	300
7	400
8	300
9	400
10	400
11	600
12	400
13	500
14	500
15	500
16	500
17	500
18	600
19	600
20	600
21	700
22	600
23	600
24	600
25	700
26	700
27	700
28	700
29	800
30	700
31	800
32	800
33	700
34	700
35	800
36	800
37	800
38	800
39	900
40	900
41	900
42	900
43	800
44	900
45	900
46	900
47	2000
48	900
49	900
50	1000
51	900
52	1000
53	1000
54	1000
55	1100
56	1100
57	1100
58	1200
59	1100
60	1100
61	1900
62	1200
63	1200
64	1200
65	1100
