n	Time(ns)
3	3200
4	500
5	600
6	700
7	1100
8	1600
9	3500
10	4500
11	12300
12	15400
13	17600
14	27800
15	9500
16	6900
17	18600
18	17600
19	28400
20	48200
21	74000
22	119500
23	190600
24	180900
25	220800
26	357200
27	579900
28	937800
29	1519000
30	2475800
31	3973400
32	6429400
33	10409100
34	16847200
35	27271000
36	44058800
37	71300100
38	115402100
39	186822500
40	302355400
41	493277800
42	791469200
43	1287493700
44	2076337300
45	3360050600
46	5438211100
47	8786119600
48	14216285100
49	23022102800
50	37235907800
51	60215552200
52	97416347700
53	157611746300
54	255088611600
55	412442070000
56	667391861701
57	1080013455400
58	1747081205900
59	2825657317200
60	4592925746100
61	7416959789500
62	11971740663200
63	19457762861700
64	31351930866000
65	51803163885400
